6.Dia Arrecadação,2. Valor Arrecadação Bruta Original
07 mai 2012,"621.394.066,02"
04 mai 2012,"1.985.611.036,92"
03 mai 2012,"772.503.559,13"
02 mai 2012,"797.184.577,11"
30 abr 2012,"23.924.616.238,96"
27 abr 2012,"4.239.240.366,78"
26 abr 2012,"1.786.925.756,68"
25 abr 2012,"15.155.867.255,45"
24 abr 2012,"1.514.537.940,86"
23 abr 2012,"1.088.534.750,18"
20 abr 2012,"9.541.508.444,84"
19 abr 2012,"1.366.120.274,94"
18 abr 2012,"901.878.056,60"
17 abr 2012,"707.491.927,55"
16 abr 2012,"766.363.310,65"
13 abr 2012,"3.724.174.327,56"
12 abr 2012,"636.623.769,65"
11 abr 2012,"678.250.473,00"
10 abr 2012,"1.180.874.189,21"
09 abr 2012,"637.225.512,34"
05 abr 2012,"640.515.268,23"
04 abr 2012,"2.344.974.571,47"
03 abr 2012,"1.042.118.276,83"
02 abr 2012,"594.028.673,42"
30 mar 2012,"20.031.956.217,90"
29 mar 2012,"1.441.736.370,00"
28 mar 2012,"899.658.786,68"
27 mar 2012,"949.119.808,72"
26 mar 2012,"857.948.739,76"
23 mar 2012,"11.426.488.336,84"
22 mar 2012,"1.013.724.184,44"
21 mar 2012,"936.402.196,83"
20 mar 2012,"9.929.377.019,99"
19 mar 2012,"1.302.080.397,81"
16 mar 2012,"798.184.875,28"
15 mar 2012,"2.016.805.442,21"
14 mar 2012,"2.224.835.617,37"
13 mar 2012,"656.585.203,22"
12 mar 2012,"3.080.511.558,35"
09 mar 2012,"1.071.289.945,86"
08 mar 2012,"557.590.392,39"
07 mar 2012,"681.542.849,98"
06 mar 2012,"526.667.170,57"
05 mar 2012,"1.831.839.201,50"
02 mar 2012,"486.222.177,65"
01 mar 2012,"556.330.311,27"
29 fev 2012,"16.410.852.321,55"
28 fev 2012,"2.011.732.287,52"
27 fev 2012,"1.018.902.560,57"
24 fev 2012,"12.004.307.828,23"
23 fev 2012,"1.082.912.478,51"
22 fev 2012,"595.111.640,13"
20 fev 2012,"9.332,24"
17 fev 2012,"6.104.665.530,57"
16 fev 2012,"1.299.745.374,75"
15 fev 2012,"3.899.253.898,53"
14 fev 2012,"625.937.597,49"
13 fev 2012,"1.205.769.771,14"
10 fev 2012,"1.014.010.967,70"
09 fev 2012,"405.348.796,67"
08 fev 2012,"521.274.073,06"
07 fev 2012,"619.993.533,64"
06 fev 2012,"476.583.317,25"
03 fev 2012,"1.774.514.473,16"
02 fev 2012,"469.379.359,78"
01 fev 2012,"549.804.918,15"
31 jan 2012,"32.072.943.459,91"
30 jan 2012,"3.244.732.638,07"
27 jan 2012,"1.221.254.212,37"
26 jan 2012,"1.070.639.281,21"
25 jan 2012,"9.346.349.399,08"
24 jan 2012,"6.254.013.105,40"
23 jan 2012,"1.331.760.416,18"
20 jan 2012,"10.079.341.508,86"
19 jan 2012,"3.134.903.708,02"
18 jan 2012,"1.041.490.385,14"
17 jan 2012,"639.864.003,77"
16 jan 2012,"676.152.805,12"
13 jan 2012,"3.922.635.644,19"
12 jan 2012,"664.677.183,40"
11 jan 2012,"559.476.817,19"
10 jan 2012,"916.476.289,15"
09 jan 2012,"581.098.357,28"
06 jan 2012,"612.472.517,15"
05 jan 2012,"578.274.151,87"
04 jan 2012,"3.683.730.368,21"
03 jan 2012,"660.251.267,28"
02 jan 2012,"499.647.465,76"
30 dez 2011,"2.235.793.389,08"
29 dez 2011,"10.969.417.420,73"
28 dez 2011,"1.894.448.991,23"
27 dez 2011,"995.322.879,28"
26 dez 2011,"945.230.737,35"
23 dez 2011,"12.258.191.849,54"
22 dez 2011,"1.999.335.290,65"
21 dez 2011,"1.158.069.642,94"
20 dez 2011,"6.263.888.273,20"
19 dez 2011,"1.664.471.336,54"
16 dez 2011,"786.738.727,28"
15 dez 2011,"2.486.015.231,23"
14 dez 2011,"2.484.916.624,43"
13 dez 2011,"681.021.631,76"
12 dez 2011,"695.282.024,25"
09 dez 2011,"1.115.521.388,30"
08 dez 2011,"520.963.443,76"
07 dez 2011,"933.851.348,00"
06 dez 2011,"650.805.648,28"
05 dez 2011,"7.422.574.085,61"
02 dez 2011,"626.038.297,89"
01 dez 2011,"789.942.910,38"
30 nov 2011,"16.932.871.023,83"
29 nov 2011,"1.660.042.174,38"
28 nov 2011,"1.054.730.839,99"
25 nov 2011,"11.665.666.684,62"
24 nov 2011,"1.160.217.583,71"
23 nov 2011,"1.992.649.515,76"
22 nov 2011,"950.640.707,72"
21 nov 2011,"862.239.146,14"
18 nov 2011,"6.525.493.282,95"
17 nov 2011,"848.782.632,39"
16 nov 2011,"2.507.541.462,79"
14 nov 2011,"1.974.012.166,68"
11 nov 2011,"686.055.443,89"
10 nov 2011,"1.040.029.135,42"
09 nov 2011,"563.920.606,44"
08 nov 2011,"569.152.995,88"
07 nov 2011,"618.421.682,29"
04 nov 2011,"2.161.652.991,76"
03 nov 2011,"958.911.825,15"
01 nov 2011,"704.662.829,44"
31 out 2011,"24.676.994.908,14"
28 out 2011,"1.862.813.733,11"
27 out 2011,"976.674.569,50"
26 out 2011,"930.624.708,84"
25 out 2011,"14.346.249.779,61"
24 out 2011,"1.232.697.880,88"
21 out 2011,"768.164.206,18"
20 out 2011,"5.885.206.730,89"
19 out 2011,"869.476.885,61"
18 out 2011,"767.615.914,79"
17 out 2011,"708.476.070,69"
14 out 2011,"4.235.950.856,14"
13 out 2011,"935.635.372,76"
11 out 2011,"586.096.125,26"
10 out 2011,"948.786.097,09"
07 out 2011,"596.448.700,67"
06 out 2011,"617.476.782,73"
05 out 2011,"3.471.357.671,11"
04 out 2011,"511.052.191,49"
03 out 2011,"604.069.875,49"
30 set 2011,"14.194.674.928,31"
29 set 2011,"1.452.651.185,37"
28 set 2011,"914.376.554,23"
27 set 2011,"640.075.780,75"
26 set 2011,"755.926.892,37"
23 set 2011,"13.132.909.198,65"
22 set 2011,"1.194.816.615,94"
21 set 2011,"951.515.125,00"
20 set 2011,"5.903.661.566,59"
19 set 2011,"1.049.398.351,01"
16 set 2011,"482.532.797,58"
15 set 2011,"2.226.486.291,88"
14 set 2011,"2.150.241.940,73"
13 set 2011,"666.699.799,42"
12 set 2011,"612.776.041,17"
09 set 2011,"915.167.231,48"
08 set 2011,"556.416.979,03"
06 set 2011,"580.306.852,09"
05 set 2011,"2.179.965.890,53"
02 set 2011,"557.202.148,65"
01 set 2011,"489.279.219,99"
31 ago 2011,"14.149.339.146,28"
30 ago 2011,"1.647.101.651,41"
29 ago 2011,"995.922.784,56"
26 ago 2011,"627.594.087,56"
25 ago 2011,"11.193.133.093,62"
24 ago 2011,"2.301.473.144,52"
23 ago 2011,"691.624.454,44"
22 ago 2011,"874.878.525,45"
19 ago 2011,"5.832.747.559,46"
18 ago 2011,"783.241.058,24"
17 ago 2011,"557.362.920,89"
16 ago 2011,"476.155.741,71"
15 ago 2011,"4.184.403.908,45"
12 ago 2011,"630.674.974,95"
11 ago 2011,"452.787.986,27"
10 ago 2011,"996.425.507,77"
09 ago 2011,"608.297.643,82"
08 ago 2011,"548.268.275,27"
05 ago 2011,"1.471.071.212,09"
04 ago 2011,"405.265.699,06"
03 ago 2011,"1.989.191.378,88"
02 ago 2011,"435.477.873,42"
01 ago 2011,"523.274.210,32"
29 jul 2011,"29.375.787.235,04"
28 jul 2011,"1.982.882.661,67"
27 jul 2011,"1.125.524.131,73"
26 jul 2011,"759.889.294,75"
25 jul 2011,"12.850.965.655,95"
22 jul 2011,"1.054.421.745,21"
21 jul 2011,"1.231.609.397,82"
20 jul 2011,"6.078.927.024,17"
19 jul 2011,"719.865.639,91"
18 jul 2011,"1.004.626.839,44"
15 jul 2011,"2.560.749.803,38"
14 jul 2011,"564.291.578,79"
13 jul 2011,"2.038.075.199,09"
12 jul 2011,"509.309.966,99"
11 jul 2011,"573.651.601,98"
08 jul 2011,"808.742.391,80"
07 jul 2011,"557.169.753,75"
06 jul 2011,"621.265.708,62"
05 jul 2011,"2.473.843.218,20"
04 jul 2011,"426.769.136,66"
01 jul 2011,"458.808.967,50"
30 jun 2011,"20.490.557.618,71"
29 jun 2011,"1.299.188.105,41"
28 jun 2011,"865.747.758,44"
27 jun 2011,"1.008.336.901,63"
24 jun 2011,"10.579.403.252,36"
22 jun 2011,"3.414.660.610,49"
21 jun 2011,"772.273.458,66"
20 jun 2011,"6.283.314.562,07"
17 jun 2011,"616.091.812,96"
16 jun 2011,"818.371.919,99"
15 jun 2011,"3.827.594.147,93"
14 jun 2011,"507.564.469,35"
13 jun 2011,"559.309.907,17"
10 jun 2011,"861.780.424,05"
09 jun 2011,"497.117.240,70"
08 jun 2011,"519.461.009,29"
07 jun 2011,"489.552.256,73"
06 jun 2011,"483.801.105,40"
03 jun 2011,"5.795.178.795,43"
02 jun 2011,"505.423.972,42"
01 jun 2011,"587.816.245,23"
31 mai 2011,"14.167.937.768,20"
30 mai 2011,"1.408.151.432,82"
27 mai 2011,"685.547.429,42"
26 mai 2011,"590.416.933,73"
25 mai 2011,"13.151.750.435,91"
24 mai 2011,"991.328.848,11"
23 mai 2011,"690.469.278,77"
20 mai 2011,"5.909.573.794,85"
19 mai 2011,"759.841.418,99"
18 mai 2011,"661.262.003,72"
17 mai 2011,"463.672.332,54"
16 mai 2011,"520.010.243,80"
13 mai 2011,"3.679.562.271,47"
12 mai 2011,"450.207.354,56"
11 mai 2011,"509.246.548,20"
10 mai 2011,"799.339.844,42"
09 mai 2011,"452.504.569,69"
06 mai 2011,"516.744.081,79"
05 mai 2011,"435.502.206,58"
04 mai 2011,"1.798.427.486,38"
03 mai 2011,"603.042.219,71"
02 mai 2011,"557.537.577,10"
29 abr 2011,"23.828.550.051,03"
28 abr 2011,"2.312.441.209,17"
27 abr 2011,"3.438.257.942,95"
26 abr 2011,"1.121.081.655,50"
25 abr 2011,"12.189.994.092,34"
20 abr 2011,"6.750.081.685,15"
19 abr 2011,"1.548.723.909,01"
18 abr 2011,"754.169.890,77"
15 abr 2011,"2.269.792.346,74"
14 abr 2011,"430.971.470,72"
13 abr 2011,"1.965.410.247,81"
12 abr 2011,"669.168.302,36"
11 abr 2011,"593.980.016,64"
08 abr 2011,"822.773.991,97"
07 abr 2011,"456.786.189,04"
06 abr 2011,"894.556.726,68"
05 abr 2011,"2.335.067.695,13"
04 abr 2011,"593.838.231,56"
01 abr 2011,"453.203.646,82"
31 mar 2011,"16.382.417.317,04"
30 mar 2011,"1.691.444.057,98"
29 mar 2011,"760.299.819,31"
28 mar 2011,"666.423.550,10"
25 mar 2011,"10.980.150.470,73"
24 mar 2011,"912.566.431,81"
23 mar 2011,"1.602.872.282,70"
22 mar 2011,"632.567.345,18"
21 mar 2011,"839.241.649,74"
18 mar 2011,"6.483.560.814,88"
17 mar 2011,"816.454.687,06"
16 mar 2011,"505.874.873,74"
15 mar 2011,"3.150.787.931,83"
14 mar 2011,"511.212.364,30"
11 mar 2011,"604.894.457,00"
10 mar 2011,"1.043.510.386,58"
09 mar 2011,"154.362.809,92"
07 mar 2011,"630,33"
04 mar 2011,"539.474.218,43"
03 mar 2011,"1.621.247.966,28"
02 mar 2011,"545.684.380,76"
01 mar 2011,"464.145.664,64"
28 fev 2011,"13.529.956.977,60"
25 fev 2011,"11.082.971.065,34"
24 fev 2011,"939.496.348,10"
23 fev 2011,"1.527.973.122,24"
22 fev 2011,"597.644.726,63"
21 fev 2011,"752.926.113,42"
18 fev 2011,"5.158.145.653,60"
17 fev 2011,"585.636.714,48"
16 fev 2011,"509.898.718,40"
15 fev 2011,"3.527.519.738,31"
14 fev 2011,"414.092.110,97"
11 fev 2011,"423.411.687,89"
10 fev 2011,"888.024.592,30"
09 fev 2011,"562.175.922,39"
08 fev 2011,"435.027.303,73"
07 fev 2011,"437.120.215,79"
04 fev 2011,"420.655.525,83"
03 fev 2011,"1.507.116.800,35"
02 fev 2011,"454.998.576,18"
01 fev 2011,"525.347.484,82"
31 jan 2011,"28.121.081.156,84"
28 jan 2011,"1.650.976.025,67"
27 jan 2011,"865.701.129,30"
26 jan 2011,"992.507.575,84"
25 jan 2011,"9.417.907.512,31"
24 jan 2011,"5.167.770.536,13"
21 jan 2011,"1.158.586.978,18"
20 jan 2011,"6.379.294.228,99"
19 jan 2011,"2.160.867.932,83"
18 jan 2011,"535.911.192,37"
17 jan 2011,"555.331.102,43"
14 jan 2011,"2.343.698.069,02"
13 jan 2011,"1.819.776.448,00"
12 jan 2011,"516.663.395,99"
11 jan 2011,"400.163.366,85"
10 jan 2011,"948.937.505,06"
07 jan 2011,"496.698.332,24"
06 jan 2011,"523.510.972,26"
05 jan 2011,"4.507.990.741,57"
04 jan 2011,"402.898.777,42"
03 jan 2011,"396.487.430,67"
31 dez 2010,"2.339.029.929,65"
30 dez 2010,"14.508.348.562,32"
29 dez 2010,"1.975.963.200,92"
28 dez 2010,"1.666.721.725,47"
27 dez 2010,"732.093.599,59"
24 dez 2010,"7.118.285.577,05"
23 dez 2010,"5.729.926.793,99"
22 dez 2010,"1.416.823.933,88"
21 dez 2010,"723.779.125,67"
20 dez 2010,"5.684.477.022,56"
17 dez 2010,"1.057.677.087,53"
16 dez 2010,"926.263.580,49"
15 dez 2010,"4.024.229.673,45"
14 dez 2010,"582.647.000,89"
13 dez 2010,"530.551.016,99"
10 dez 2010,"2.649.704.237,87"
09 dez 2010,"797.849.100,86"
08 dez 2010,"562.814.748,98"
07 dez 2010,"468.302.186,71"
06 dez 2010,"541.052.624,09"
03 dez 2010,"5.436.186.134,25"
02 dez 2010,"680.597.046,38"
01 dez 2010,"617.869.171,73"
30 nov 2010,"14.477.279.005,59"
29 nov 2010,"1.534.146.802,72"
26 nov 2010,"596.648.312,52"
25 nov 2010,"11.593.040.536,05"
24 nov 2010,"2.009.656.931,68"
23 nov 2010,"691.771.225,70"
22 nov 2010,"749.700.389,09"
19 nov 2010,"5.482.939.699,06"
18 nov 2010,"905.356.882,85"
17 nov 2010,"513.444.721,86"
16 nov 2010,"2.451.061.300,63"
12 nov 2010,"1.957.329.335,34"
11 nov 2010,"577.855.061,10"
10 nov 2010,"1.044.890.374,01"
09 nov 2010,"563.978.714,46"
08 nov 2010,"508.566.478,45"
05 nov 2010,"519.429.331,80"
04 nov 2010,"1.775.103.249,38"
03 nov 2010,"649.406.560,52"
01 nov 2010,"273.937.045,41"
29 out 2010,"20.490.633.045,32"
28 out 2010,"1.754.340.699,12"
27 out 2010,"931.128.585,06"
26 out 2010,"769.304.691,35"
25 out 2010,"13.982.119.129,93"
22 out 2010,"952.815.315,21"
21 out 2010,"647.643.756,88"
20 out 2010,"5.129.281.119,06"
19 out 2010,"687.365.504,95"
18 out 2010,"511.745.605,62"
15 out 2010,"2.088.850.820,79"
14 out 2010,"2.161.224.279,02"
13 out 2010,"413.542.826,94"
11 out 2010,"304.881.909,19"
08 out 2010,"855.171.120,38"
07 out 2010,"544.090.552,59"
06 out 2010,"378.207.741,16"
05 out 2010,"2.446.820.018,50"
04 out 2010,"428.365.558,79"
01 out 2010,"491.855.164,17"
30 set 2010,"12.591.888.815,83"
29 set 2010,"1.436.197.186,19"
28 set 2010,"820.890.379,64"
27 set 2010,"573.784.893,18"
24 set 2010,"11.139.764.832,96"
23 set 2010,"1.812.135.501,42"
22 set 2010,"697.414.852,35"
21 set 2010,"626.277.621,25"
20 set 2010,"4.963.244.107,99"
17 set 2010,"782.267.364,55"
16 set 2010,"493.097.380,10"
15 set 2010,"3.472.111.824,44"
14 set 2010,"529.527.909,61"
13 set 2010,"396.936.700,90"
10 set 2010,"926.647.926,75"
09 set 2010,"659.075.868,37"
08 set 2010,"362.252.078,95"
06 set 2010,"380.536.086,97"
03 set 2010,"1.703.688.010,71"
02 set 2010,"432.103.100,05"
01 set 2010,"584.217.338,24"
31 ago 2010,"11.837.333.875,39"
30 ago 2010,"1.581.298.488,10"
27 ago 2010,"648.607.811,21"
26 ago 2010,"467.213.146,66"
25 ago 2010,"11.361.159.599,10"
24 ago 2010,"747.671.361,05"
23 ago 2010,"672.342.284,68"
20 ago 2010,"4.798.673.927,74"
19 ago 2010,"724.022.880,29"
18 ago 2010,"525.471.479,94"
17 ago 2010,"418.179.147,89"
16 ago 2010,"559.756.777,94"
13 ago 2010,"3.166.216.448,11"
12 ago 2010,"344.754.194,48"
11 ago 2010,"566.096.176,77"
10 ago 2010,"736.811.011,96"
09 ago 2010,"510.056.359,98"
06 ago 2010,"344.940.854,68"
05 ago 2010,"377.546.697,39"
04 ago 2010,"1.822.152.446,61"
03 ago 2010,"448.800.848,12"
02 ago 2010,"414.273.730,10"
30 jul 2010,"18.027.216.221,46"
29 jul 2010,"1.623.892.447,72"
28 jul 2010,"929.732.586,73"
27 jul 2010,"702.946.318,53"
26 jul 2010,"741.409.438,01"
23 jul 2010,"10.784.886.150,58"
22 jul 2010,"781.488.956,77"
21 jul 2010,"566.514.372,01"
20 jul 2010,"4.554.394.152,77"
19 jul 2010,"703.880.878,25"
16 jul 2010,"403.717.687,10"
15 jul 2010,"1.877.603.345,01"
14 jul 2010,"1.657.352.352,27"
13 jul 2010,"560.275.242,54"
12 jul 2010,"440.115.723,45"
09 jul 2010,"540.497.186,98"
08 jul 2010,"589.364.171,17"
07 jul 2010,"462.361.555,18"
06 jul 2010,"395.034.942,27"
05 jul 2010,"1.790.567.829,68"
02 jul 2010,"253.459.963,57"
01 jul 2010,"402.084.598,49"
30 jun 2010,"10.307.615.413,41"
29 jun 2010,"962.118.636,93"
28 jun 2010,"589.640.113,50"
25 jun 2010,"9.755.268.662,98"
24 jun 2010,"1.362.288.269,92"
23 jun 2010,"1.489.547.368,71"
22 jun 2010,"574.563.042,43"
21 jun 2010,"580.718.676,60"
18 jun 2010,"4.269.642.821,36"
17 jun 2010,"689.315.781,97"
16 jun 2010,"487.480.265,33"
15 jun 2010,"2.919.929.873,30"
14 jun 2010,"462.159.906,29"
11 jun 2010,"410.456.106,70"
10 jun 2010,"826.788.380,07"
09 jun 2010,"644.114.136,82"
08 jun 2010,"465.112.751,54"
07 jun 2010,"474.809.441,91"
04 jun 2010,"4.166.225.861,28"
02 jun 2010,"721.448.351,43"
01 jun 2010,"425.294.126,47"
31 mai 2010,"10.821.569.276,98"
28 mai 2010,"1.276.607.228,46"
27 mai 2010,"1.955.415.403,83"
26 mai 2010,"987.010.810,74"
25 mai 2010,"11.209.245.929,48"
24 mai 2010,"831.258.725,75"
21 mai 2010,"706.753.681,08"
20 mai 2010,"4.612.015.840,49"
19 mai 2010,"587.827.044,21"
18 mai 2010,"427.855.159,11"
17 mai 2010,"558.299.925,64"
14 mai 2010,"1.712.761.312,89"
13 mai 2010,"1.441.355.989,88"
12 mai 2010,"616.199.361,52"
11 mai 2010,"306.089.814,44"
10 mai 2010,"731.263.040,28"
07 mai 2010,"425.132.292,56"
06 mai 2010,"416.416.224,55"
05 mai 2010,"1.784.367.985,44"
04 mai 2010,"418.933.104,23"
03 mai 2010,"443.731.601,52"
30 abr 2010,"19.579.582.434,46"
29 abr 2010,"1.914.281.452,34"
28 abr 2010,"1.109.045.132,29"
27 abr 2010,"817.432.346,99"
26 abr 2010,"2.029.723.026,29"
23 abr 2010,"9.044.541.966,52"
22 abr 2010,"2.566.982.094,00"
20 abr 2010,"5.292.188.885,14"
19 abr 2010,"691.098.847,88"
16 abr 2010,"586.742.949,15"
15 abr 2010,"1.709.273.671,84"
14 abr 2010,"1.623.462.339,52"
13 abr 2010,"423.879.144,48"
12 abr 2010,"404.277.877,42"
09 abr 2010,"900.197.314,29"
08 abr 2010,"424.524.925,44"
07 abr 2010,"564.520.232,40"
06 abr 2010,"1.684.201.542,29"
05 abr 2010,"354.308.575,75"
01 abr 2010,"289.379.874,97"
31 mar 2010,"13.249.222.862,36"
30 mar 2010,"1.123.854.561,04"
29 mar 2010,"777.376.637,39"
26 mar 2010,"454.154.408,19"
25 mar 2010,"8.950.236.501,62"
24 mar 2010,"1.544.629.778,81"
23 mar 2010,"525.863.052,75"
22 mar 2010,"522.548.613,61"
19 mar 2010,"4.776.606.264,18"
18 mar 2010,"900.580.329,91"
17 mar 2010,"432.644.104,58"
16 mar 2010,"431.390.481,60"
15 mar 2010,"2.887.592.161,30"
12 mar 2010,"391.926.206,07"
11 mar 2010,"290.129.483,66"
10 mar 2010,"872.783.088,39"
09 mar 2010,"429.986.241,87"
08 mar 2010,"376.328.789,75"
05 mar 2010,"421.474.367,47"
04 mar 2010,"458.701.738,03"
03 mar 2010,"1.312.081.491,44"
02 mar 2010,"420.624.800,94"
01 mar 2010,"294.143.144,81"
26 fev 2010,"10.537.366.361,28"
25 fev 2010,"9.168.467.220,17"
24 fev 2010,"1.620.180.296,72"
23 fev 2010,"533.975.862,50"
22 fev 2010,"503.790.785,66"
19 fev 2010,"4.195.650.748,78"
18 fev 2010,"638.415.790,12"
17 fev 2010,"1.538.754.480,18"
15 fev 2010,"588,28"
12 fev 2010,"1.831.091.030,95"
11 fev 2010,"390.500.797,58"
10 fev 2010,"942.754.722,24"
09 fev 2010,"831.872.649,55"
08 fev 2010,"389.337.071,92"
05 fev 2010,"491.697.967,43"
04 fev 2010,"359.376.935,98"
03 fev 2010,"1.297.439.442,59"
02 fev 2010,"321.971.365,30"
01 fev 2010,"386.717.117,61"
29 jan 2010,"22.628.973.325,04"
28 jan 2010,"1.064.987.261,77"
27 jan 2010,"856.311.810,57"
26 jan 2010,"870.998.315,66"
25 jan 2010,"7.570.396.140,93"
22 jan 2010,"4.411.511.309,16"
21 jan 2010,"529.168.014,26"
20 jan 2010,"5.205.593.168,73"
19 jan 2010,"1.830.759.138,86"
18 jan 2010,"419.962.191,45"
15 jan 2010,"1.994.356.532,56"
14 jan 2010,"374.661.152,63"
13 jan 2010,"1.547.862.987,11"
12 jan 2010,"408.836.581,46"
11 jan 2010,"403.563.944,87"
08 jan 2010,"835.553.936,99"
07 jan 2010,"421.465.998,55"
06 jan 2010,"3.294.346.212,66"
05 jan 2010,"317.179.412,14"
04 jan 2010,"345.714.917,54"
31 dez 2009,"802.850.810,13"
30 dez 2009,"10.573.058.547,13"
29 dez 2009,"1.327.216.696,38"
28 dez 2009,"851.610.023,05"
24 dez 2009,"5.437.298.771,84"
23 dez 2009,"5.792.902.852,46"
22 dez 2009,"977.234.664,22"
21 dez 2009,"796.538.769,06"
18 dez 2009,"6.699.643.250,81"
17 dez 2009,"723.714.194,93"
16 dez 2009,"720.344.061,94"
15 dez 2009,"3.555.424.539,82"
14 dez 2009,"418.466.434,40"
11 dez 2009,"337.833.890,49"
10 dez 2009,"745.028.900,99"
09 dez 2009,"757.046.396,49"
08 dez 2009,"301.440.008,37"
07 dez 2009,"405.483.111,08"
04 dez 2009,"395.836.122,53"
03 dez 2009,"4.218.853.074,66"
02 dez 2009,"389.447.601,60"
01 dez 2009,"691.746.608,87"
30 nov 2009,"18.369.144.953,41"
27 nov 2009,"3.633.288.972,04"
26 nov 2009,"3.080.227.091,62"
25 nov 2009,"11.533.484.867,65"
24 nov 2009,"1.222.270.043,88"
23 nov 2009,"670.093.483,13"
20 nov 2009,"1.997.809.514,80"
19 nov 2009,"2.721.664.311,07"
18 nov 2009,"673.245.324,71"
17 nov 2009,"560.543.154,68"
16 nov 2009,"404.282.716,47"
13 nov 2009,"3.264.894.743,07"
12 nov 2009,"338.955.479,05"
11 nov 2009,"528.689.421,41"
10 nov 2009,"778.984.227,11"
09 nov 2009,"431.802.308,65"
06 nov 2009,"427.966.595,28"
05 nov 2009,"1.636.366.551,99"
04 nov 2009,"378.210.519,55"
03 nov 2009,"593.811.287,38"
30 out 2009,"18.903.671.847,23"
29 out 2009,"1.802.635.177,45"
28 out 2009,"819.084.812,54"
27 out 2009,"660.930.730,92"
26 out 2009,"689.074.710,93"
23 out 2009,"10.449.058.701,91"
22 out 2009,"626.755.002,56"
21 out 2009,"571.957.201,63"
20 out 2009,"8.234.598.644,75"
19 out 2009,"785.963.425,00"
16 out 2009,"375.585.540,07"
15 out 2009,"2.815.996.991,96"
14 out 2009,"524.648.184,41"
13 out 2009,"420.269.565,96"
09 out 2009,"840.551.643,10"
08 out 2009,"403.159.144,62"
07 out 2009,"378.522.554,13"
06 out 2009,"263.300.093,19"
05 out 2009,"1.697.322.049,21"
02 out 2009,"367.800.044,22"
01 out 2009,"332.278.485,05"
30 set 2009,"10.140.657.698,91"
29 set 2009,"755.698.899,82"
28 set 2009,"594.575.737,49"
25 set 2009,"9.081.195.199,51"
24 set 2009,"689.605.355,32"
23 set 2009,"1.142.307.714,10"
22 set 2009,"400.632.518,13"
21 set 2009,"494.556.589,90"
18 set 2009,"3.923.100.238,44"
17 set 2009,"433.460.113,94"
16 set 2009,"436.554.878,63"
15 set 2009,"2.789.410.518,92"
14 set 2009,"372.401.998,01"
11 set 2009,"287.741.914,03"
10 set 2009,"872.237.231,42"
09 set 2009,"445.366.019,13"
08 set 2009,"321.374.092,99"
04 set 2009,"367.737.368,73"
03 set 2009,"1.106.610.043,50"
02 set 2009,"281.544.746,88"
01 set 2009,"311.158.301,78"
31 ago 2009,"11.206.869.803,36"
28 ago 2009,"870.963.991,04"
27 ago 2009,"477.658.885,92"
26 ago 2009,"463.486.319,13"
25 ago 2009,"9.699.303.066,93"
24 ago 2009,"672.115.217,13"
21 ago 2009,"408.413.278,29"
20 ago 2009,"3.831.156.630,74"
19 ago 2009,"528.006.872,53"
18 ago 2009,"345.409.493,33"
17 ago 2009,"341.534.403,47"
14 ago 2009,"1.747.548.837,55"
13 ago 2009,"1.170.190.645,53"
12 ago 2009,"361.894.651,43"
11 ago 2009,"297.309.418,93"
10 ago 2009,"791.506.801,00"
07 ago 2009,"408.539.555,07"
06 ago 2009,"280.621.187,49"
05 ago 2009,"1.375.224.485,11"
04 ago 2009,"317.043.439,44"
03 ago 2009,"250.087.816,78"
31 jul 2009,"15.765.729.440,80"
30 jul 2009,"1.288.595.647,98"
29 jul 2009,"742.229.935,70"
28 jul 2009,"490.177.815,91"
27 jul 2009,"492.520.131,62"
24 jul 2009,"8.504.532.198,81"
23 jul 2009,"1.114.781.658,16"
22 jul 2009,"522.224.015,88"
21 jul 2009,"379.683.045,28"
20 jul 2009,"3.875.637.357,10"
17 jul 2009,"500.329.993,71"
16 jul 2009,"300.045.218,41"
15 jul 2009,"3.226.497.410,44"
14 jul 2009,"360.648.540,11"
13 jul 2009,"307.426.695,89"
10 jul 2009,"688.504.194,81"
09 jul 2009,"173.743.474,35"
08 jul 2009,"464.399.371,90"
07 jul 2009,"318.018.396,36"
06 jul 2009,"263.028.756,70"
03 jul 2009,"1.406.188.906,31"
02 jul 2009,"235.028.761,32"
01 jul 2009,"681.007.601,89"
30 jun 2009,"10.676.080.039,56"
29 jun 2009,"810.958.054,50"
26 jun 2009,"479.665.798,42"
25 jun 2009,"8.312.577.315,52"
24 jun 2009,"1.112.962.974,23"
23 jun 2009,"459.924.829,17"
22 jun 2009,"359.796.441,07"
19 jun 2009,"4.179.253.640,98"
18 jun 2009,"413.834.968,18"
17 jun 2009,"378.749.890,96"
16 jun 2009,"1.466.622.986,50"
15 jun 2009,"1.338.532.408,70"
12 jun 2009,"240.073.884,00"
10 jun 2009,"1.007.413.756,18"
09 jun 2009,"424.794.842,13"
08 jun 2009,"358.329.934,64"
05 jun 2009,"260.213.510,87"
04 jun 2009,"289.801.637,64"
03 jun 2009,"4.235.380.777,55"
02 jun 2009,"291.257.157,93"
01 jun 2009,"788.837.238,88"
29 mai 2009,"9.800.122.439,15"
28 mai 2009,"638.701.906,77"
27 mai 2009,"511.395.635,88"
26 mai 2009,"435.380.236,09"
25 mai 2009,"8.759.280.736,41"
22 mai 2009,"546.134.070,12"
21 mai 2009,"380.304.484,18"
20 mai 2009,"3.967.050.179,17"
19 mai 2009,"439.375.668,48"
